,dataset,model,kappa,metric,param.,value,ABC,CI
178,WSI,cnn,SR,FPR,imbalance,0.5,0.03780636825042222,"[np.float64(0.018761457714045315), np.float64(0.05685127878679912)]"
179,WSI,cnn,SR,FNR,imbalance,0.5,0.026522865851436934,"[np.float64(0.013481851810265564), np.float64(0.0395638798926083)]"
180,WSI,cnn,SR,standard,imbalance,0.25,0.01445299411879313,"[np.float64(0.004001494804477373), np.float64(0.02490449343310889)]"
181,WSI,cnn,SR,FP,imbalance,0.25,0.013498585376956734,"[np.float64(0.0030078647161341874), np.float64(0.02398930603777928)]"
182,WSI,cnn,SR,FN,imbalance,0.25,0.0065544018276978006,"[np.float64(0.004119600399298347), np.float64(0.008989203256097254)]"
183,WSI,cnn,SR,FPR,imbalance,0.25,0.025235250559171318,"[np.float64(0.011257068754743393), np.float64(0.03921343236359924)]"
184,WSI,cnn,SR,FNR,imbalance,0.25,0.038910505968107634,"[np.float64(0.02818497818836751), np.float64(0.04963603374784776)]"
185,WSI,cnn,SR,standard,delta,0.001,0.011974252027004025,"[np.float64(0.002095252516631268), np.float64(0.021853251537376783)]"
186,WSI,cnn,SR,FP,delta,0.001,0.010110853384184602,"[np.float64(0.0023911683785821387), np.float64(0.017830538389787064)]"
187,WSI,cnn,SR,FN,delta,0.001,0.007273221624964592,"[np.float64(0.0026994038565870335), np.float64(0.01184703939334215)]"
188,WSI,cnn,SR,FPR,delta,0.001,0.021900727073729545,"[np.float64(0.010003189989658651), np.float64(0.03379826415780044)]"
189,WSI,cnn,SR,FNR,delta,0.001,0.03127440823947439,"[np.float64(0.018021216497899492), np.float64(0.044527599981049285)]"
190,WSI,cnn,SR,standard,delta,0.01,0.008874425248106815,"[np.float64(-0.0006055816132943554), np.float64(0.018354432109507983)]"
191,WSI,cnn,SR,FP,delta,0.01,0.007357189283530097,"[np.float64(0.0003249575543364785), np.float64(0.014389421012723716)]"
192,WSI,cnn,SR,FN,delta,0.01,0.005508064571254301,"[np.float64(0.001051386126371969), np.float64(0.009964743016136632)]"
193,WSI,cnn,SR,FPR,delta,0.01,0.015907434227805998,"[np.float64(0.0042627369131380075), np.float64(0.02755213154247399)]"
194,WSI,cnn,SR,FNR,delta,0.01,0.022958934879629418,"[np.float64(0.010205186527650196), np.float64(0.035712683231608644)]"
195,WSI,cnn,SR,standard,delta,0.1,0.005862678080928016,"[np.float64(-0.0007718370847239015), np.float64(0.012497193246579934)]"
196,WSI,cnn,SR,FP,delta,0.1,0.004533130803277495,"[np.float64(-0.0004343107806395116), np.float64(0.009500572387194501)]"
197,WSI,cnn,SR,FN,delta,0.1,0.0034459186380642647,"[np.float64(-0.00044373704777562247), np.float64(0.007335574323904152)]"
198,WSI,cnn,SR,FPR,delta,0.1,0.008992486220982983,"[np.float64(-0.0007171151384670425), np.float64(0.018702087580433006)]"
199,WSI,cnn,SR,FNR,delta,0.1,0.013808098859434714,"[np.float64(0.0017800306956441136), np.float64(0.025836167023225314)]"
